438 E Screven St,Quitman,Brooks,"30.784765,-83.556954",13000
647 E Screven St,Quitman,Brooks,"30.784706,-83.555130",13500
1141 E Screven St,Quitman,Brooks,"30.784526,-83.550013",11800
14132 US Highway 84,Quitman,Brooks,"30.788574,-83.503383",11400
20012 Valdosta Hwy,Valdosta,Brooks,"30.852549,-83.351838",10600
8055 US Highway 17,Richmond Hill,Bryan,"31.891838,-81.380112",25500
5966 US Highway 17,Richmond Hill,Bryan,"31.912260,-81.352940",27700
3485 US Highway 17,Richmond Hill,Bryan,"31.933709,-81.322722",21700
2038 US Highway 17,Richmond Hill,Bryan,"31.955039,-81.308157",24800
5422 US Highway 80,Ellabell,Bryan,"32.192963,-81.424559",11500
12943 GA Highway 144,Richmond Hill,Bryan,"31.915624,-81.282137",20000
10661 Ford Ave,Richmond Hill,Bryan,"31.939893,-81.304758",25500
9005 Ford Ave,Richmond Hill,Bryan,"31.957170,-81.323790",16200
GA-404 E,Ellabell,Bryan,"32.199470,-81.484540",32400
Tar City Rd,Ellabell,Bryan,"32.159700,-81.433100",35000
GA-405 N,Richmond Hill,Bryan,"31.926865,-81.330135",11300
US Highway 17,Richmond Hill,Bryan,"31.925997,-81.331976",11400
10798 GA Highway 67,Statesboro,Bulloch,"32.311689,-81.731079",10900
15095 GA Highway 67,Statesboro,Bulloch,"32.370988,-81.742919",11400
17529 Highway 67,Statesboro,Bulloch,"32.402600,-81.759900",18600
1276 Fair Rd,Statesboro,Bulloch,"32.421106,-81.772759",24700
1100 Fair Rd,Statesboro,Bulloch,"32.425381,-81.775748",22100
543 Fair Rd,Statesboro,Bulloch,"32.432779,-81.780917",25900
332 S Main St,Statesboro,Bulloch,"32.440194,-81.784298",16200
202 S Main St,Statesboro,Bulloch,"32.444869,-81.783821",13200
106 S Main St,Statesboro,Bulloch,"32.446638,-81.783632",12300
168 Northside Dr W,Statesboro,Bulloch,"32.455262,-81.784635",14600
240 Northside Dr W,Statesboro,Bulloch,"32.455196,-81.785823",15000
475 Northside Dr W,Statesboro,Bulloch,"32.458197,-81.790384",13200
650 Northside Dr W,Statesboro,Bulloch,"32.462757,-81.791827",10500
US Highway 80 W,Statesboro,Bulloch,"32.506592,-81.825108",10800
1129 US Highway 301 S,Register,Bulloch,"32.347233,-81.867213",12400
8301 US Highway 301 S,Statesboro,Bulloch,"32.371400,-81.848570",16500
11943 US Highway 301 S,Statesboro,Bulloch,"32.407968,-81.808620",19200
800 S Main St,Statesboro,Bulloch,"32.423990,-81.791483",17500
705 S Main St,Statesboro,Bulloch,"32.429746,-81.785917",17800
17828 US Highway 301 N,Statesboro,Bulloch,"32.470379,-81.758906",10100
719 Northside Dr E,Statesboro,Bulloch,"32.437058,-81.760532",23900
384 Northside Dr E,Statesboro,Bulloch,"32.442672,-81.767851",16400
143 Turner St,Statesboro,Bulloch,"32.450677,-81.773521",16500
103 Northside Dr E,Statesboro,Bulloch,"32.455575,-81.779436",14800
GA-404 E,Ellabell,Bulloch,"32.218000,-81.533500",32400
GA-404 E,Ellabell,Bulloch,"32.227900,-81.581400",32100
GA-404 E,Pembroke,Bulloch,"32.237500,-81.671300",31500
GA-404 E,Statesboro,Bulloch,"32.285800,-81.791300",24000
GA-404 E,Register,Bulloch,"32.317900,-81.910500",24800
1611 Chandler Rd,Statesboro,Bulloch,"32.422198,-81.780079",12300
107 Tillman Rd,Statesboro,Bulloch,"32.433556,-81.783530",13800
554 S Zetterower Ave,Statesboro,Bulloch,"32.436652,-81.781235",11400
870 Gentilly Rd,Statesboro,Bulloch,"32.424463,-81.773647",10400
601 Gentilly Rd,Statesboro,Bulloch,"32.432231,-81.770260",14300
Veterans Memorial Pkwy,Statesboro,Bulloch,"32.412216,-81.756591",23100
Veterans Memorial Pkwy,Statesboro,Bulloch,"32.423376,-81.809786",12600
Veterans Memorial Pkwy,Statesboro,Bulloch,"32.443435,-81.816425",12700
423 S Liberty St,Waynesboro,Burke,"33.085227,-82.012767",11100
511 W 6th St,Waynesboro,Burke,"33.087523,-82.021196",10000
882 US Highway 25 N,Waynesboro,Burke,"33.126026,-82.034854",14600
3086 US Highway 25 N,Keysville,Burke,"33.186370,-82.040479",14700
116 Mills Rd,Waynesboro,Burke,"33.102709,-81.998970",11700
720 Mills Rd,Waynesboro,Burke,"33.103902,-82.018139",11700
2157 Highway 42 N,Jenkinsburg,Butts,"33.323819,-84.031236",10200
420 Covington St,Jackson,Butts,"33.298116,-83.961690",10900
3886 Arthur K Bolton Pkwy,Griffin,Butts,"33.258587,-84.107916",14600
2643 Highway 16 W,Jackson,Butts,"33.266229,-84.064607",11000
2068 Highway 16 W,Jackson,Butts,"33.290659,-84.006835",11200
476 W 3rd St,Jackson,Butts,"33.294298,-83.971114",15800
242 E 3rd St,Jackson,Butts,"33.294458,-83.964145",17600
688 E 3rd St,Jackson,Butts,"33.294477,-83.956165",14500
431 E King Ave,Kingsland,Camden,"30.800724,-81.685477",11200
1133 E King Ave,Kingsland,Camden,"30.792572,-81.665078",18100
1523 GA Highway 40 E,Kingsland,Camden,"30.784980,-81.639930",22500
5451 GA Highway 40 E,Kingsland,Camden,"30.764065,-81.609737",15600
3045 GA Highway 40 E,Saint Marys,Camden,"30.756872,-81.595117",18600
2046 Osborne Rd,Saint Marys,Camden,"30.746769,-81.563664",14000
1 5th St,Saint Marys,Camden,"30.763137,-81.576346",10700
963 Kings Bay Rd,Saint Marys,Camden,"30.788260,-81.599226",11200
981 Kings Bay Rd,Saint Marys,Camden,"30.791026,-81.587722",10500
7622 Laurel Island Pkwy,Kingsland,Camden,"30.811587,-81.626572",11400
Saint Marys Rd,Kingsland,Camden,"30.759644,-81.626022",15900
5821 Laurel Island Pkwy,Kingsland,Camden,"30.824002,-81.653622",11100
GA-404 E,Metter,Candler,"32.378000,-82.197900",22900
GA-404 E,Metter,Candler,"32.375000,-82.116400",23500
GA-404 E,Metter,Candler,"32.372780,-82.030910",24500
GA-404 E,Register,Candler,"32.335100,-81.947300",24800
789 N Highway 27,Roopville,Carroll,"33.475431,-85.108938",12400
3500 S Highway 27,Carrollton,Carroll,"33.495990,-85.085552",13200
2974 S Highway 27,Carrollton,Carroll,"33.510225,-85.079012",16000
1950 S Highway 27,Carrollton,Carroll,"33.537147,-85.074068",17300
1441 S Park St,Carrollton,Carroll,"33.551809,-85.073299",28000
S Park St,Carrollton,Carroll,"33.557101,-85.073014",33500
636 S Park St,Carrollton,Carroll,"33.571340,-85.078499",31400
350 S Park St,Carrollton,Carroll,"33.576649,-85.078889",25600
112 S Park St,Carrollton,Carroll,"33.579636,-85.078652",26900
246 N Park St,Carrollton,Carroll,"33.582235,-85.078378",25400
927 N Park St,Carrollton,Carroll,"33.592692,-85.079310",22700
1007 N Park St,Carrollton,Carroll,"33.595596,-85.079324",26200
1553 N Park St,Carrollton,Carroll,"33.610154,-85.086187",13800
2445 N Highway 27,Carrollton,Carroll,"33.627050,-85.107960",21500
3375 N Highway 27,Carrollton,Carroll,"33.642510,-85.129543",19500
4981 N Highway 27,Carrollton,Carroll,"33.681650,-85.150950",22000
1980 Alabama Ave S,Bremen,Carroll,"33.689100,-85.151300",14700
418 W Highway 78,Temple,Carroll,"33.731829,-85.042546",10000
1023 W Highway 78,Villa Rica,Carroll,"33.731813,-84.948704",14700
497 W Bankhead Hwy,Villa Rica,Carroll,"33.731762,-84.929709",16500
399 W Wilson St,Villa Rica,Carroll,"33.732806,-84.921754",12500
